county_name,n_stops,FIPS,black_pop,white_pop,bw_pop
Adams,942,28001,17757,12856,30613
Alcorn,3345,28003,4281,31563,35844
Amite,2921,28005,5416,7395,12811
Attala,4203,28007,8194,10649,18843
Benton,214,28009,3078,5166,8244
Bolivar,4526,28011,21648,11197,32845
Calhoun,1658,28013,3991,10103,14094
Carroll,1788,28015,3470,6702,10172
Chickasaw,3869,28017,7549,9522,17071
Choctaw,613,28019,2596,5661,8257
Claiborne,1387,28021,7918,1271,9189
Clarke,585,28023,5731,10502,16233
Clay,981,28025,11809,8213,20022
Coahoma,2591,28027,19167,5710,24877
Copiah,6086,28029,14833,13316,28149
Covington,1898,28031,6982,12226,19208
DeSoto,1203,28033,40230,120452,160682
Forrest,4435,28035,27910,45641,73551
Franklin,2507,28037,2816,4997,7813
George,4778,28039,1832,20627,22459
Greene,1053,28041,3647,10179,13826
Grenada,2644,28043,9417,11991,21408
Hancock,3790,28045,4172,39686,43858
Harrison,6096,28047,45678,136231,181909
Hinds,4993,28049,172869,67125,239994
Holmes,4316,28051,15498,3105,18603
Humphreys,2118,28053,6774,2031,8805
Issaquena,1137,28055,841,443,1284
Itawamba,2481,28057,1531,21508,23039
Jackson,6759,28059,30704,101686,132390
Jasper,2008,28061,8785,7674,16459
Jefferson,4212,28063,6520,1057,7577
Jefferson Davis,958,28065,7312,4586,11898
Jones,3833,28067,19711,47154,66865
Kemper,2500,28069,6026,3761,9787
Lafayette,1169,28071,12292,36841,49133
Lamar,3365,28073,11826,44635,56461
Lauderdale,8795,28075,33893,43482,77375
Lawrence,568,28077,4066,8349,12415
Leake,2997,28079,9576,12091,21667
Lee,4960,28081,23782,58614,82396
Leflore,1674,28083,22748,8004,30752
Lincoln,3828,28085,10706,23722,34428
Lowndes,3210,28087,26168,32116,58284
Madison,2009,28089,38315,56847,95162
Marion,239,28091,8432,17170,25602
Marshall,220,28093,17319,17902,35221
Monroe,10469,28095,11021,24635,35656
Montgomery,3383,28097,4713,5603,10316
Neshoba,77,28099,6611,17543,24154
Newton,2485,28101,6576,13699,20275
Noxubee,30,28103,8016,3094,11110
Oktibbeha,4000,28105,18205,28608,46813
Panola,1754,28107,17247,16779,34026
Pearl River,845,28109,7483,46411,53894
Perry,785,28111,2598,9441,12039
Pike,4168,28113,21028,18282,39310
Pontotoc,1652,28115,4631,24275,28906
Prentiss,2041,28117,3603,21309,24912
Quitman,1515,28119,5452,2246,7698
Rankin,356,28121,28896,113170,142066
Scott,4925,28123,10562,16920,27482
Sharkey,1772,28125,3438,1342,4780
Simpson,3481,28127,9782,17211,26993
Smith,260,28129,4026,12172,16198
Stone,2908,28131,3450,14147,17597
Sunflower,3922,28133,20386,7197,27583
Tallahatchie,393,28135,6751,6299,13050
Tate,1977,28137,8747,19059,27806
Tippah,1479,28139,3529,17919,21448
Tishomingo,1692,28141,508,18471,18979
Tunica,4,28143,7914,2209,10123
Union,2462,28145,3986,22763,26749
Walthall,1822,28147,6768,7967,14735
Warren,2729,28149,23025,23804,46829
Washington,2745,28151,35225,13446,48671
Wayne,4247,28153,8015,12154,20169
Webster,156,28155,1964,7880,9844
Wilkinson,43,28157,6603,2698,9301
Winston,4322,28159,8919,9602,18521
Yalobusha,322,28161,4909,7330,12239
Yazoo,3528,28163,16054,10730,26784
